-0.122325,-0.225217,-0.244737,0.227690,0.096069,0.149218,0.223348,0.102079,0.028048,0.275317,-0.052812,0.019052
0.100715,0.198756,-0.277016,0.184743,0.283254,-0.140220,-0.194512,-0.127144,-0.219301,-0.244703,0.137620,-0.139062
0.271240,0.177150,0.220549,0.043776,-0.084817,-0.104136,0.112570,0.189063,0.285914,-0.159275,-0.242293,-0.009157
0.178713,0.163833,-0.058845,-0.170267,-0.161870,0.048587,-0.134504,-0.113753,0.171223,-0.224976,0.126733,0.025776
-0.255682,-0.263583,0.012015,0.274684,0.161309,0.054561,-0.287031,-0.071482,-0.001335,-0.177565,0.244244,0.029506
0.125386,0.243740,0.218707,-0.107310,-0.108197,-0.076477,0.035032,-0.090737,-0.205667,-0.041204,0.043231,0.032365
0.287909,-0.180715,0.181610,-0.164716,-0.210191,0.076395,-0.217225,0.213651,0.072247,-0.267697,0.162228,0.002413
0.051356,-0.216377,0.136723,0.148058,0.010193,-0.035614,0.177345,0.120110,-0.075692,-0.170221,0.247975,-0.208922
0.009037,-0.225481,0.201775,0.095169,-0.254811,0.156675,0.248258,0.086459,0.052725,0.169623,0.064501,-0.093193
0.262193,-0.040470,-0.243330,-0.239870,0.241728,-0.223446,0.156047,-0.125802,0.077276,0.096247,0.180201,0.045824
0.258156,-0.202815,-0.034521,-0.019467,-0.248707,0.231745,0.162113,-0.217100,-0.047157,0.105217,-0.274346,0.237447
0.053646,0.050633,0.280929,-0.017565,-0.210146,0.004450,0.003081,-0.068620,0.112853,-0.121499,0.009452,-0.220155
