1.000000,0.800000,0.026343,0.000744,1.000000,0.085665,0.032018,0.020304,0.011875,0.065333
0.034472,0.013696,0.035298,0.063785,0.028838,0.006428,0.001027,0.062068,0.012399,0.083795
0.058266,0.080223,0.011351,0.004301,0.043609,0.051850,0.012853,0.073609,0.093853,0.024144
0.018097,0.013914,0.047945,0.039073,0.800000,0.053463,0.090432,0.092096,0.002913,0.033215
0.034839,0.027773,1.000000,0.070877,0.045576,0.006787,1.000000,0.082579,0.063160,0.032783
0.009278,0.087732,0.030032,0.092755,0.018349,0.019411,0.088121,0.058469,0.046810,0.062456
0.066519,0.002168,0.055869,0.092486,0.074282,0.080735,0.007297,0.098345,0.089345,0.098134
0.039138,0.071498,0.051127,0.055374,0.016214,0.020104,0.042485,0.000890,0.003781,0.014828
0.053125,0.028281,0.093440,0.019630,0.020217,0.011581,0.055592,0.035771,0.030879,0.063558
0.054195,0.074886,0.011023,0.091011,0.068190,0.075812,0.000112,0.024298,0.032762,0.026290
